count                   cycles
36                      22711589
72                      47952150
108                     69310936
144                     92811741
180                     115079115
216                     134996748
252                     154333708
288                     175889697
324                     183224550
360                     188461052
396                     195732357
432                     203245628
468                     207819925
504                     213712984
540                     223049723
576                     228475713
612                     235528270
648                     243423218
684                     248495943
720                     254067844
756                     265276641
792                     271077899
828                     278617416
864                     286223040
900                     292521600
936                     297009459
972                     307399858
1008                    314007373
1044                    320626052
1080                    328938995
1116                    336171076
1152                    340431105
