count                   cycles
194                     169534531
388                     363876400
582                     498114712
776                     535687696
970                     558851543
1164                    582008883
1358                    601685334
1552                    620949578
1746                    641613427
1940                    660822255
2134                    685153892
2328                    704221646
2522                    724116264
2716                    747273996
2910                    765864598
3104                    785736508
3298                    803449363
3492                    821754346
3686                    840643709
3880                    858438791
4074                    876810071
4268                    902043323
4462                    928730904
4656                    948811363
4850                    968604759
5044                    990746235
5238                    1026855485
5432                    1050045297
5626                    1071359226
5820                    1101096839
6014                    1127283530
6208                    1149588965
