count                   cycles
10                      5610469
20                      11105834
30                      15692057
40                      20655300
50                      26080672
60                      31709461
70                      34294277
80                      36883897
90                      39286155
100                     41401900
110                     43725706
120                     46002429
130                     47648666
140                     49704777
150                     53914223
160                     56387492
170                     59057292
180                     61285242
190                     63986362
200                     73937101
210                     81991407
220                     91539271
230                     105223202
240                     114482803
250                     124227462
260                     129470819
270                     133566101
280                     138253942
290                     143877256
300                     151503954
310                     159822744
